Entry	Entry Name	Gene Names	Gene Names (ordered locus)	Protein names	Gene Ontology IDs	Gene Ontology (biological process)	Gene Ontology (molecular function)	Gene Ontology (cellular component)
P13982	ARCC_PSEAE	arcC PA5173	PA5173	Carbamate kinase (CKase) (EC 2.7.2.2)	GO:0005524; GO:0005829; GO:0008804; GO:0019546	L-arginine deiminase pathway [GO:0019546]	ATP binding [GO:0005524]; carbamate kinase activity [GO:0008804]	cytosol [GO:0005829]
P24735	AMPC_PSEAE	ampC PA4110	PA4110	Beta-lactamase (EC 3.5.2.6) (Cephalosporinase)	GO:0008800; GO:0017001; GO:0030288; GO:0033252; GO:0046677	antibiotic catabolic process [GO:0017001]; regulation of beta-lactamase activity [GO:0033252]; response to antibiotic [GO:0046677]	beta-lactamase activity [GO:0008800]	outer membrane-bounded periplasmic space [GO:0030288]
P26995	EXSC_PSEAE	exsC PA1710	PA1710	Transcriptional anti-antiactivator ExsC	GO:0005737; GO:0030254; GO:0045893	positive regulation of DNA-templated transcription [GO:0045893]; protein secretion by the type III secretion system [GO:0030254]		cytoplasm [GO:0005737]
P37452	LEXA_PSEAE	lexA PA3007	PA3007	LexA repressor (EC 3.4.21.88)	GO:0001217; GO:0004252; GO:0006260; GO:0006281; GO:0006351; GO:0006355; GO:0006508; GO:0009432; GO:0032993; GO:0043565; GO:0045892	DNA repair [GO:0006281]; DNA replication [GO:0006260]; DNA-templated transcription [GO:0006351]; negative regulation of DNA-templated transcription [GO:0045892]; proteolysis [GO:0006508]; regulation of DNA-templated transcription [GO:0006355]; SOS response [GO:0009432]	DNA-binding transcription repressor activity [GO:0001217]; sequence-specific DNA binding [GO:0043565]; serine-type endopeptidase activity [GO:0004252]	protein-DNA complex [GO:0032993]
Q00934	PILR_PSEAE	pilR PA4547	PA4547	Response regulator protein PilR	GO:0000160; GO:0000987; GO:0001216; GO:0005524; GO:0005737; GO:0006351; GO:0032993; GO:0045893; GO:0060491	DNA-templated transcription [GO:0006351]; phosphorelay signal transduction system [GO:0000160]; positive regulation of DNA-templated transcription [GO:0045893]; regulation of cell projection assembly [GO:0060491]	ATP binding [GO:0005524]; cis-regulatory region sequence-specific DNA binding [GO:0000987]; DNA-binding transcription activator activity [GO:0001216]	cytoplasm [GO:0005737]; protein-DNA complex [GO:0032993]
Q06584	PYS2_PSEAE	pys2 PA1150	PA1150	Pyocin-S2 (EC 3.1.-.-) (Killer protein)	GO:0004519; GO:0005102; GO:0016787; GO:0019835; GO:0031640; GO:0042742; GO:0046872	cytolysis [GO:0019835]; defense response to bacterium [GO:0042742]; killing of cells of another organism [GO:0031640]	endonuclease activity [GO:0004519]; hydrolase activity [GO:0016787]; metal ion binding [GO:0046872]; signaling receptor binding [GO:0005102]	
Q51385	RLMN_PSEAE	rlmN PA3806	PA3806	Dual-specificity RNA methyltransferase RlmN (EC 2.1.1.192) (23S rRNA (adenine(2503)-C(2))-methyltransferase) (23S rRNA m2A2503 methyltransferase) (Ribosomal RNA large subunit methyltransferase N) (tRNA (adenine(37)-C(2))-methyltransferase) (tRNA m2A37 methyltransferase)	GO:0000049; GO:0002935; GO:0005737; GO:0019843; GO:0030488; GO:0046872; GO:0051539; GO:0070040; GO:0070475	rRNA base methylation [GO:0070475]; tRNA methylation [GO:0030488]	4 iron, 4 sulfur cluster binding [GO:0051539]; metal ion binding [GO:0046872]; rRNA (adenine(2503)-C2-)-methyltransferase activity [GO:0070040]; rRNA binding [GO:0019843]; tRNA (adenine(37)-C2)-methyltransferase activity [GO:0002935]; tRNA binding [GO:0000049]	cytoplasm [GO:0005737]
Q51393	ALGJ_PSEAE	algJ PA3549	PA3549	Probable alginate O-acetylase AlgJ (EC 2.3.1.-) (Alginate biosynthesis protein AlgJ)	GO:0005886; GO:0016746; GO:0042121; GO:0042597; GO:0051979	alginic acid acetylation [GO:0051979]; alginic acid biosynthetic process [GO:0042121]	acyltransferase activity [GO:0016746]	periplasmic space [GO:0042597]; plasma membrane [GO:0005886]
Q9HT84	DGCP_PSEAE	dgcP PA5487	PA5487	Diguanylate cyclase DgcP (EC 2.7.7.65)	GO:0005525; GO:0005886; GO:0043709; GO:0046872; GO:0052621; GO:1902201	cell adhesion involved in single-species biofilm formation [GO:0043709]; negative regulation of bacterial-type flagellum-dependent cell motility [GO:1902201]	diguanylate cyclase activity [GO:0052621]; GTP binding [GO:0005525]; metal ion binding [GO:0046872]	plasma membrane [GO:0005886]
Q9HTQ2	ALR2_PSEAE	dadX PA5302	PA5302	Alanine racemase, catabolic (EC 5.1.1.1)	GO:0005829; GO:0008784; GO:0030170; GO:0030632	D-alanine biosynthetic process [GO:0030632]	alanine racemase activity [GO:0008784]; pyridoxal phosphate binding [GO:0030170]	cytosol [GO:0005829]
Q9HTZ1	LDC_PSEAE	PA5198	PA5198	Murein tetrapeptide carboxypeptidase (EC 3.4.17.13) (LD-carboxypeptidase)	GO:0005829; GO:0006508; GO:0008236; GO:0008360; GO:0009252; GO:0009254; GO:0071555; GO:0106415	cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; peptidoglycan turnover [GO:0009254]; proteolysis [GO:0006508]; regulation of cell shape [GO:0008360]	muramoyltetrapeptide carboxypeptidase activity [GO:0106415]; serine-type peptidase activity [GO:0008236]	cytosol [GO:0005829]
Q9HU66	THII_PSEAE	thiI PA5118	PA5118	tRNA sulfurtransferase (EC 2.8.1.4) (Sulfur carrier protein ThiS sulfurtransferase) (Thiamine biosynthesis protein ThiI) (tRNA 4-thiouridine synthase)	GO:0000049; GO:0002937; GO:0004810; GO:0005524; GO:0009228; GO:0009229; GO:0016783; GO:0052837; GO:0140741; GO:1990228	thiamine biosynthetic process [GO:0009228]; thiamine diphosphate biosynthetic process [GO:0009229]; thiazole biosynthetic process [GO:0052837]; tRNA 4-thiouridine biosynthesis [GO:0002937]	ATP binding [GO:0005524]; CCA tRNA nucleotidyltransferase activity [GO:0004810]; sulfurtransferase activity [GO:0016783]; tRNA binding [GO:0000049]; tRNA-uracil-4 sulfurtransferase activity [GO:0140741]	sulfurtransferase complex [GO:1990228]
Q9HUX5	ODH_PSEAE	cntM zrmC PA4835	PA4835	Pseudopaline synthase (EC 1.5.1.-) (Opine dehydrogenase) (ODH) (Pseudopaline dehydrogenase)	GO:0005886; GO:0016491		oxidoreductase activity [GO:0016491]	plasma membrane [GO:0005886]
Q9HV43	DNAK_PSEAE	dnaK PA4761	PA4761	Chaperone protein DnaK (HSP70) (Heat shock 70 kDa protein) (Heat shock protein 70)	GO:0005524; GO:0005829; GO:0016887; GO:0030254; GO:0031072; GO:0042026; GO:0043107; GO:0044183; GO:0051082; GO:0051701; GO:0071977	bacterial-type flagellum-dependent swimming motility [GO:0071977]; biological process involved in interaction with host [GO:0051701]; protein refolding [GO:0042026]; protein secretion by the type III secretion system [GO:0030254]; type IV pilus-dependent motility [GO:0043107]	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; heat shock protein binding [GO:0031072]; protein folding chaperone [GO:0044183]; unfolded protein binding [GO:0051082]	cytosol [GO:0005829]
Q9HVC3	PTH_PSEAE	pth PA4672	PA4672	Peptidyl-tRNA hydrolase (Pth) (EC 3.1.1.29)	GO:0000049; GO:0004045; GO:0005737; GO:0006515; GO:0072344	protein quality control for misfolded or incompletely synthesized proteins [GO:0006515]; rescue of stalled cytosolic ribosome [GO:0072344]	peptidyl-tRNA hydrolase activity [GO:0004045]; tRNA binding [GO:0000049]	cytoplasm [GO:0005737]
Q9HVV7	LPTA_PSEAE	lptH lptA PA4460	PA4460	Lipopolysaccharide export system protein LptH (Pa-LptH)	GO:0001530; GO:0009279; GO:0015920; GO:0017089; GO:0030288; GO:0043165	Gram-negative-bacterium-type cell outer membrane assembly [GO:0043165]; lipopolysaccharide transport [GO:0015920]	glycolipid transfer activity [GO:0017089]; lipopolysaccharide binding [GO:0001530]	cell outer membrane [GO:0009279]; outer membrane-bounded periplasmic space [GO:0030288]
Q9HVZ0	GMHA_PSEAE	gmhA PA4425	PA4425	Phosphoheptose isomerase (EC 5.3.1.28) (Sedoheptulose 7-phosphate isomerase)	GO:0005737; GO:0008270; GO:0008968; GO:0009244; GO:0032298; GO:0097367; GO:1990102; GO:2001061	D-glycero-D-manno-heptose 7-phosphate biosynthetic process [GO:2001061]; lipopolysaccharide core region biosynthetic process [GO:0009244]; positive regulation of DNA-templated DNA replication initiation [GO:0032298]	carbohydrate derivative binding [GO:0097367]; D-sedoheptulose 7-phosphate isomerase activity [GO:0008968]; zinc ion binding [GO:0008270]	cytoplasm [GO:0005737]; DnaA-DiaA complex [GO:1990102]
Q9HVZ9	MURD_PSEAE	murD PA4414	PA4414	UDP-N-acetylmuramoylalanine--D-glutamate ligase (EC 6.3.2.9) (D-glutamic acid-adding enzyme) (UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase)	GO:0005524; GO:0005737; GO:0008360; GO:0008764; GO:0009252; GO:0051301; GO:0071555	cell division [GO:0051301]; cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]	ATP binding [GO:0005524]; UDP-N-acetylmuramoylalanine-D-glutamate ligase activity [GO:0008764]	cytoplasm [GO:0005737]
Q9HWA4	PPRB_PSEAE	pprB PA4296	PA4296	Two-component response regulator PprB	GO:0000156; GO:0000976; GO:0003700; GO:0006351; GO:0006355; GO:0045785; GO:1900233	DNA-templated transcription [GO:0006351]; positive regulation of cell adhesion [GO:0045785]; positive regulation of single-species biofilm formation on inanimate substrate [GO:1900233]; regulation of DNA-templated transcription [GO:0006355]	DNA-binding transcription factor activity [GO:0003700]; phosphorelay response regulator activity [GO:0000156]; transcription cis-regulatory region binding [GO:0000976]	
Q9HWR3	BPHY_PSEAE	bphP PA4117	PA4117	Bacteriophytochrome (EC 2.7.13.3) (Phytochrome-like protein)	GO:0000155; GO:0000156; GO:0005524; GO:0006355; GO:0007234; GO:0009584; GO:0009881; GO:0030295; GO:0042802	detection of visible light [GO:0009584]; osmosensory signaling via phosphorelay pathway [GO:0007234]; regulation of DNA-templated transcription [GO:0006355]	ATP binding [GO:0005524]; identical protein binding [GO:0042802]; phosphorelay response regulator activity [GO:0000156]; phosphorelay sensor kinase activity [GO:0000155]; photoreceptor activity [GO:0009881]; protein kinase activator activity [GO:0030295]	
Q9HY69	ALG44_PSEAE	alg44 PA3542	PA3542	Mannuronan synthase (EC 2.4.1.33) (Alginate biosynthesis protein Alg44)	GO:0004467; GO:0005886; GO:0009276; GO:0015125; GO:0015721; GO:0035438; GO:0042121; GO:0042597; GO:0044010; GO:0047643; GO:1990961	alginic acid biosynthetic process [GO:0042121]; bile acid and bile salt transport [GO:0015721]; single-species biofilm formation [GO:0044010]; xenobiotic detoxification by transmembrane export across the plasma membrane [GO:1990961]	alginate synthase activity [GO:0047643]; bile acid transmembrane transporter activity [GO:0015125]; cyclic-di-GMP binding [GO:0035438]; long-chain fatty acid-CoA ligase activity [GO:0004467]	Gram-negative-bacterium-type cell wall [GO:0009276]; periplasmic space [GO:0042597]; plasma membrane [GO:0005886]
